iter	RMSE
0	0.3877029607
1	0.3774926778
2	0.3667344293
3	0.3573046151
4	0.3481102845
5	0.3386148358
6	0.3303136252
7	0.3224525762
8	0.3141666673
9	0.3064673935
10	0.2995708946
11	0.2927260653
12	0.286042852
13	0.279992897
14	0.2741534609
15	0.268343103
16	0.2621457261
17	0.2565507137
18	0.2516109114
19	0.2466618534
20	0.2418898628
21	0.2372059724
22	0.2323871144
23	0.2280163455
24	0.2241926781
25	0.2200244407
26	0.2159849473
27	0.2118409033
28	0.2079637271
29	0.2045265614
30	0.2015769107
31	0.1984536933
32	0.1947697941
33	0.1919210517
34	0.1891422489
35	0.1862253146
36	0.1835696295
37	0.1811718725
38	0.1790765096
39	0.1768242294
40	0.1742472262
41	0.1723255333
42	0.1701613067
43	0.1684027667
44	0.1666434712
45	0.1646042423
46	0.1630658506
47	0.1613334894
48	0.1595195652
49	0.1580324749
50	0.1562586033
51	0.1546621404
52	0.1530828475
53	0.1518618076
54	0.1504966961
55	0.1490277315
56	0.1478050181
57	0.1467068901
58	0.1457550274
59	0.1448099934
60	0.1437956745
61	0.1426684216
62	0.1415485105
63	0.1406813517
64	0.1396361562
65	0.1388227919
66	0.1380612282
67	0.1372220044
68	0.1364015946
69	0.1357459623
70	0.134660382
71	0.1338419654
72	0.1330347144
73	0.1323780673
74	0.1316603606
75	0.1309281997
76	0.1302559794
77	0.129698534
78	0.1288400092
79	0.1283425513
80	0.1277038257
81	0.1272033302
82	0.1266406062
83	0.1261844908
84	0.1258288806
85	0.1252574415
86	0.1246468957
87	0.1240823992
88	0.1236154086
89	0.1230747627
90	0.1227526706
91	0.1223892907
92	0.1220463906
93	0.1215145858
94	0.1210946717
95	0.1206056631
96	0.1202329046
97	0.1198395897
98	0.1194647398
99	0.1189231443
100	0.1186202009
101	0.1181340973
102	0.1175170665
103	0.1172413068
104	0.1168656231
105	0.1163903138
106	0.1161120066
107	0.1157776067
108	0.1154892377
109	0.1151765619
110	0.1147656397
111	0.1144476413
112	0.1141044609
113	0.1138152153
114	0.1135864052
115	0.113319715
116	0.1128757205
117	0.1126818543
118	0.1125189582
119	0.1122713621
120	0.1120579627
121	0.111828486
122	0.1116054738
123	0.1112648613
124	0.1110079562
125	0.1107932527
126	0.1104863021
127	0.1103724498
128	0.1102318119
129	0.1099534395
130	0.1097395795
131	0.1095684528
132	0.1093946184
133	0.109224238
134	0.1090733279
135	0.1088736381
136	0.1086921818
137	0.1085250524
138	0.1083636642
139	0.1082225818
140	0.1080583218
141	0.1079445979
142	0.1077372997
143	0.1074741759
144	0.1072051476
145	0.1069389278
146	0.1068357141
147	0.1065896
148	0.106398341
149	0.1062277655
150	0.1061425797
151	0.1059987144
152	0.1058815748
153	0.1056578715
154	0.1054954955
155	0.1054121474
156	0.1051911526
157	0.1050367263
158	0.1048753406
159	0.1046251797
160	0.1044238746
161	0.1043572355
162	0.1042586118
163	0.1039711973
164	0.1038188508
165	0.1037112203
166	0.1035233339
167	0.103351816
168	0.1031789077
169	0.1028018316
170	0.1026424823
171	0.1023987862
172	0.1023227216
173	0.1022152334
174	0.1020058442
175	0.1018432977
176	0.1016825131
177	0.1015302616
178	0.1013949592
179	0.1012860866
180	0.1011366754
181	0.1010331285
182	0.10094826
183	0.100847505
184	0.1006763421
185	0.1005784222
186	0.1004219004
187	0.1002869758
188	0.1000738293
189	0.0999242454
190	0.09984244872
191	0.09977545478
192	0.09962466166
193	0.09956105457
194	0.09947873464
195	0.09938501713
196	0.09922631684
197	0.09914290795
198	0.09905940493
199	0.09892056291
200	0.09864073841
201	0.09846753665
202	0.09836590467
203	0.09828306816
204	0.09815082095
205	0.09804398477
206	0.09795529546
207	0.09784365595
208	0.09772191183
209	0.09759140753
210	0.0974707081
211	0.09736687196
212	0.09730466474
213	0.09721426634
214	0.09708694012
215	0.09689944987
216	0.09678482715
217	0.0967026715
218	0.09662492142
219	0.0965213083
220	0.09644695053
221	0.0963547501
222	0.09626248838
223	0.09614516258
224	0.09589005498
225	0.09563891021
226	0.09552246806
227	0.09545816112
228	0.09536535094
229	0.09528557351
230	0.0951796268
231	0.0951230173
232	0.09498727996
233	0.09491709781
234	0.09478445052
235	0.09461417799
236	0.09452044703
237	0.09444517128
238	0.09432762038
239	0.09427621628
240	0.09418145315
241	0.09406389468
242	0.0939917077
243	0.09391587021
244	0.09356824731
245	0.09346139718
246	0.09335076422
247	0.09330043329
248	0.09324684364
