iter	Passed	Remaining
0	26	26444
1	36	18349
2	52	17335
3	66	16591
4	82	16349
5	97	16183
6	111	15873
7	122	15234
8	133	14661
9	145	14399
10	156	14098
11	165	13638
12	177	13506
13	194	13715
14	207	13593
15	217	13404
16	231	13368
17	244	13353
18	262	13529
19	278	13664
20	291	13604
21	301	13380
22	314	13344
23	331	13498
24	346	13513
25	360	13506
26	373	13453
27	382	13291
28	395	13232
29	408	13196
30	418	13078
31	428	12972
32	441	12928
33	452	12853
34	461	12715
35	474	12696
36	484	12622
37	493	12490
38	506	12474
39	517	12409
40	526	12317
41	534	12195
42	543	12088
43	556	12085
44	567	12050
45	577	11968
46	589	11945
47	601	11930
48	609	11832
49	622	11824
50	634	11802
51	642	11717
52	654	11692
53	663	11631
54	673	11572
55	685	11563
56	695	11499
57	705	11466
58	718	11458
59	731	11462
60	739	11387
61	752	11387
62	760	11314
63	773	11309
64	787	11326
65	801	11337
66	812	11319
67	825	11310
68	841	11351
69	854	11355
70	868	11365
71	876	11299
72	888	11279
73	901	11282
74	911	11244
75	921	11208
76	935	11208
77	947	11199
78	956	11150
79	968	11137
80	982	11143
81	990	11093
82	1003	11082
83	1016	11082
84	1027	11063
85	1037	11028
86	1050	11023
87	1061	10998
88	1070	10956
89	1083	10956
90	1095	10946
91	1104	10901
92	1117	10900
93	1121	10812
94	1134	10806
95	1148	10817
96	1163	10829
97	1174	10813
98	1186	10797
99	1198	10790
100	1212	10789
101	1221	10753
102	1233	10742
103	1251	10785
104	1265	10786
105	1278	10785
106	1288	10752
107	1299	10733
108	1312	10730
109	1325	10720
110	1334	10688
111	1348	10693
112	1361	10689
113	1371	10658
114	1385	10664
115	1397	10653
116	1411	10653
117	1419	10611
118	1432	10604
119	1447	10613
120	1461	10619
121	1475	10616
122	1483	10578
123	1496	10572
124	1510	10571
125	1522	10558
126	1527	10499
127	1538	10480
128	1548	10457
129	1561	10452
130	1574	10443
131	1584	10419
132	1595	10402
133	1608	10397
134	1618	10373
135	1629	10349
136	1641	10337
137	1651	10316
138	1661	10291
139	1673	10282
140	1684	10261
141	1693	10234
142	1706	10228
143	1715	10198
144	1725	10176
145	1739	10172
146	1750	10159
147	1760	10132
148	1775	10141
149	1788	10136
150	1800	10123
151	1809	10092
152	1821	10084
153	1831	10062
154	1841	10038
155	1853	10029
156	1863	10007
157	1873	9984
158	1886	9978
159	1894	9946
160	1909	9952
161	1915	9906
162	1923	9875
163	1935	9866
164	1943	9836
165	1955	9826
166	1969	9822
167	1979	9804
168	1988	9780
169	2001	9772
170	2009	9743
171	2020	9727
172	2034	9726
173	2046	9714
174	2055	9688
175	2067	9679
176	2078	9666
177	2088	9644
178	2100	9632
179	2110	9615
180	2120	9593
181	2132	9583
182	2140	9555
183	2151	9540
184	2162	9526
185	2171	9503
186	2184	9496
187	2197	9490
188	2205	9465
189	2217	9452
190	2228	9440
191	2237	9416
192	2249	9406
193	2260	9389
194	2268	9366
195	2284	9369
196	2296	9360
197	2304	9334
198	2317	9327
199	2329	9318
200	2338	9297
201	2350	9283
202	2363	9277
203	2375	9267
204	2383	9243
205	2395	9234
206	2404	9211
207	2415	9196
208	2430	9200
209	2443	9190
210	2451	9165
211	2463	9155
212	2472	9135
213	2481	9114
214	2492	9101
215	2501	9079
216	2512	9065
217	2523	9050
218	2531	9027
219	2544	9021
220	2552	8997
221	2564	8985
222	2576	8977
223	2588	8965
224	2599	8953
225	2612	8946
226	2626	8943
227	2634	8919
228	2647	8912
229	2660	8905
230	2670	8890
231	2681	8875
232	2694	8870
233	2708	8864
234	2715	8841
235	2729	8837
236	2744	8835
237	2766	8856
238	2778	8846
239	2792	8843
240	2804	8832
241	2812	8809
242	2828	8811
243	2840	8802
244	2849	8780
245	2860	8766
246	2872	8756
247	2880	8734
248	2892	8722
249	2902	8706
250	2911	8686
251	2923	8678
252	2932	8657
253	2942	8643
254	2955	8634
255	2964	8616
256	2976	8604
257	2989	8596
258	2998	8579
259	3009	8564
260	3023	8560
261	3033	8546
262	3043	8528
263	3056	8521
264	3071	8517
265	3086	8516
266	3095	8498
267	3123	8532
268	3140	8535
269	3156	8533
270	3179	8554
271	3194	8549
272	3210	8549
273	3225	8545
274	3239	8540
275	3253	8533
276	3262	8515
277	3276	8509
278	3290	8503
279	3304	8496
280	3318	8491
281	3332	8484
282	3348	8483
283	3358	8466
284	3374	8464
285	3392	8470
286	3407	8465
287	3426	8470
288	3439	8462
289	3455	8459
290	3469	8452
291	3486	8454
292	3501	8449
293	3514	8440
294	3524	8422
295	3537	8414
296	3553	8410
297	3568	8406
298	3581	8396
299	3590	8378
300	3604	8370
301	3618	8362
302	3632	8355
303	3640	8334
304	3653	8325
305	3667	8317
306	3679	8304
307	3687	8285
308	3700	8275
309	3714	8267
310	3723	8250
311	3734	8235
312	3747	8224
313	3757	8209
314	3768	8194
315	3782	8187
316	3795	8177
317	3804	8160
318	3817	8149
319	3830	8139
320	3840	8122
321	3851	8109
322	3865	8102
323	3880	8095
324	3890	8080
325	3900	8064
326	3914	8057
327	3931	8054
328	3952	8062
329	3977	8075
330	3992	8068
331	4005	8058
332	4014	8041
333	4027	8030
334	4039	8019
335	4047	7999
336	4061	7989
337	4071	7974
338	4081	7958
339	4095	7949
340	4108	7939
341	4119	7925
342	4129	7909
343	4141	7897
344	4159	7897
345	4192	7924
346	4214	7930
347	4238	7941
348	4258	7942
349	4277	7944
350	4293	7938
351	4311	7937
352	4328	7933
353	4344	7927
354	4359	7921
355	4376	7917
356	4396	7917
357	4412	7912
358	4428	7907
359	4445	7903
360	4461	7897
361	4476	7888
362	4492	7882
363	4508	7877
364	4528	7877
365	4542	7868
366	4555	7857
367	4572	7852
368	4589	7847
369	4602	7837
370	4613	7821
371	4623	7805
372	4635	7792
373	4644	7773
374	4657	7761
375	4670	7750
376	4678	7732
377	4690	7717
378	4702	7705
379	4712	7688
380	4722	7673
381	4734	7660
382	4743	7641
383	4756	7629
384	4769	7618
385	4782	7607
386	4791	7590
387	4805	7579
388	4818	7567
389	4831	7556
390	4840	7539
391	4853	7527
392	4867	7517
393	4878	7503
394	4888	7487
395	4902	7478
396	4917	7469
397	4930	7458
398	4940	7440
399	4953	7430
400	4967	7419
401	4980	7408
402	4989	7391
403	5001	7379
404	5016	7369
405	5030	7359
406	5040	7344
407	5060	7343
408	5072	7330
409	5087	7320
410	5104	7314
411	5120	7307
412	5139	7304
413	5162	7307
414	5187	7312
415	5210	7315
416	5237	7323
417	5269	7337
418	5290	7336
